Distress (0) vs Suicide (1),Video id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,30.814579461886193,22.502807112668123,44.207490590520436,0.2519284440407581,1.0965579853281735,27.617349964495908,1.0202196640457368,2.540374524936912,0.08438886149644176,0.0970130060247693,0.01106545438139683,0.00312482269944567,0.08740856083443423,0.03262222297996453,0.04160657408012852,32.0893999771597,26.70813364689606,39.77982460574885,22.057504634544742,7.018076184302319,1.1519531687419653,14.437059571434425,11.828564925575069,0.22776783688939403,11.9092587974248
0,2,25.907585481877117,19.457829563473304,24.862136720280418,12.578142195747347,45.87616028169562,22.072128208600745,20.788418323593163,46.18490026804014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68083277451958,21.407244733633537,13.22969466666301,13.917402465971193,6.310945758631831,1.9047239746454547,0.18508411677800812,1.702540266068094,1.5028907837698198,10.830723213855407
0,3,140.06428074751122,144.37979914782625,105.90167389563624,17.420195433413973,20.641476917481885,162.02620147707557,31.439997941066395,20.94912339813617,12.056471353543337,12.613728901693301,8.422723896319578,8.317368955448938,11.553778016756818,8.558291342520004,6.721749787237515,106.05419142262953,101.74319290539636,88.97166152786994,55.16841740957128,64.84648718913515,36.79355685772281,54.333396576489406,16.002977735952417,5.530852070860138,47.657487842662036
0,4,12.89904179812493,16.020417662626333,12.499240484907018,0.0,1.8194542708483452,12.420242516443338,0.0,1.362197237187616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.125169936161956,11.168285843348553,9.80001140444114,7.989871546116469,5.345444854405643,0.0,0.0,0.8186879818925042,0.0,7.621385427678122
1,5,7.845344425686164,15.146525744511372,30.44412810897256,0.0,0.5983077591605798,40.524574220870676,0.7063573127611369,1.365894687163225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.531399004421685,6.946145429936653,5.639536233031596,7.131040617820529,0.6224681703600632,0.0,0.0,0.18266870981359784,0.0,6.333412719744003
0,6,8.303006499052616,2.802686912817309,3.8359683553055257,0.17040393108874186,1.8287857688519285,4.868277915071928,3.04483558716257,7.836924099120945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.841241221436761,6.025297030253497,3.3608970702105,1.6924011463072688,3.28143477955716,0.5011067215076768,0.5014149145843881,3.902797265402085,0.0,1.2886942371329522
1,7,18.718141227672554,24.92013261678999,17.853901428790948,0.3181185606032331,0.233930181658197,31.133132684756976,0.6843238395706117,0.6586128012444122,0.3973871449503168,0.3906460758320532,0.3933601252178557,0.4073985352797216,0.6309477744938189,0.42136049085823574,0.0,13.5007147263294,13.119292236151715,11.827030443419149,14.880738159355724,0.599825943015171,0.011793370019592787,0.1232836341353782,0.0,0.0,0.5196184142625137
0,8,162.39533618036035,260.6859116722766,249.9870547115317,27.157205179790576,29.620560244616463,260.45512053410374,26.628050917179838,35.66757187173572,21.63728543633121,22.916907395644234,16.37040961874591,22.95129840045304,21.69549873578509,19.05057438035402,21.000167282952212,133.45683971922287,137.51599927312225,107.15560202518387,114.42060780516691,53.552929409054535,23.433963098375457,28.863969569202567,16.41512424217344,17.236191757238036,55.07477065477931
0,9,16.75538107741129,4.287430205935354,0.4277532983408701,0.0,0.0,0.12579470137383117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04703708667974,17.559761031232522,17.357530888694768,15.7332705055978,16.342701468617825,0.6514755444176459,0.8483265389528136,0.0,0.0,12.400982175379117
0,10,12.226099088255342,11.370948724953658,9.788008086831717,0.0,0.0,7.524040318837009,0.08955947080512479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.791671910760611,11.361673130486961,14.612891726458754,14.63060078175892,4.038166946481819,0.0,0.0,2.7211107634573946,0.0,4.487778903062903
0,11,101.57969898386995,164.67531641957223,105.04429580773844,2.656986208302589,9.023789170952638,211.3919246910206,0.7868941273947408,9.076537877080643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.94075829435159,67.69102840162314,85.50145669764508,16.09999200464131,6.908989722676342,0.11519916675459897,0.005639594322825918,15.75688062453519,0.0,15.707295278687997
